,Unnamed: 0,Rank,Country,Score,GDP,Social support,Healthy life expectancy,Freedom,Generosity,Corruption,Region,Year,High,Low,Family,Dystopia.Residual,Standard Error
0,0,1,Finland,7.769,1.34,1.587,0.986,0.596,0.153,0.393,Western Europe,2019,,,,,
1,1,2,Denmark,7.6,1.383,1.5730000000000002,0.996,0.5920000000000001,0.252,0.41,Western Europe,2019,,,,,
2,2,3,Norway,7.5539999999999985,1.4880000000000002,1.582,1.028,0.603,0.271,0.341,Western Europe,2019,,,,,
3,3,4,Iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.118,Western Europe,2019,,,,,
4,4,5,Netherlands,7.487999999999999,1.396,1.5219999999999998,0.999,0.557,0.322,0.298,Western Europe,2019,,,,,
5,5,6,Switzerland,7.48,1.452,1.526,1.052,0.5720000000000001,0.263,0.343,Western Europe,2019,,,,,
6,6,7,Sweden,7.343,1.3869999999999998,1.487,1.009,0.574,0.267,0.373,Western Europe,2019,,,,,
7,7,8,New Zealand,7.307,1.3030000000000002,1.557,1.026,0.585,0.33,0.38,Australia and New Zealand,2019,,,,,
8,8,9,Canada,7.278,1.365,1.505,1.039,0.584,0.285,0.308,North America,2019,,,,,
9,9,10,Austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226,Western Europe,2019,,,,,
10,10,11,Australia,7.228,1.372,1.548,1.036,0.557,0.332,0.29,Australia and New Zealand,2019,,,,,
11,11,12,Costa Rica,7.167000000000002,1.034,1.4409999999999998,0.963,0.5579999999999999,0.14400000000000002,0.093,Latin America and Caribbean,2019,,,,,
12,12,13,Israel,7.1389999999999985,1.276,1.455,1.029,0.371,0.261,0.08199999999999999,Middle East and Northern Africa,2019,,,,,
13,13,14,Luxembourg,7.09,1.609,1.479,1.012,0.526,0.194,0.316,Western Europe,2019,,,,,
14,14,15,United Kingdom,7.0539999999999985,1.3330000000000002,1.538,0.996,0.45,0.348,0.278,Western Europe,2019,,,,,
15,15,16,Ireland,7.021,1.499,1.5530000000000002,0.999,0.516,0.298,0.31,Western Europe,2019,,,,,
16,16,17,Germany,6.985,1.3730000000000002,1.454,0.987,0.495,0.261,0.265,Western Europe,2019,,,,,
17,17,18,Belgium,6.922999999999999,1.356,1.504,0.986,0.473,0.16,0.21,Western Europe,2019,,,,,
18,18,19,United States,6.892,1.433,1.457,0.8740000000000001,0.454,0.28,0.128,North America,2019,,,,,
19,19,20,Czech Republic,6.852,1.269,1.487,0.92,0.457,0.046,0.036000000000000004,Central and Eastern Europe,2019,,,,,
20,20,21,United Arab Emirates,6.825,1.503,1.31,0.825,0.598,0.262,0.182,Middle East and Northern Africa,2019,,,,,
21,21,22,Malta,6.726,1.3,1.52,0.999,0.564,0.375,0.151,Western Europe,2019,,,,,
22,22,23,Mexico,6.595,1.07,1.3230000000000002,0.861,0.433,0.07400000000000001,0.073,Latin America and Caribbean,2019,,,,,
23,23,24,France,6.5920000000000005,1.324,1.472,1.045,0.436,0.111,0.183,Western Europe,2019,,,,,
24,24,25,Taiwan,6.4460000000000015,1.368,1.43,0.914,0.35100000000000003,0.242,0.097,Eastern Asia,2019,,,,,
25,25,26,Chile,6.444,1.159,1.369,0.92,0.35700000000000004,0.187,0.056,Latin America and Caribbean,2019,,,,,
26,26,27,Guatemala,6.436,0.8,1.269,0.746,0.535,0.175,0.078,Latin America and Caribbean,2019,,,,,
27,27,28,Saudi Arabia,6.375,1.403,1.357,0.795,0.439,0.08,0.132,Middle East and Northern Africa,2019,,,,,
28,28,29,Qatar,6.374,1.6840000000000002,1.3130000000000002,0.871,0.555,0.22,0.16699999999999998,Middle East and Northern Africa,2019,,,,,
29,29,30,Spain,6.354,1.286,1.484,1.062,0.362,0.153,0.079,Western Europe,2019,,,,,
30,30,31,Panama,6.3210000000000015,1.149,1.442,0.91,0.516,0.109,0.054000000000000006,Latin America and Caribbean,2019,,,,,
31,31,32,Brazil,6.3,1.004,1.439,0.802,0.39,0.099,0.086,Latin America and Caribbean,2019,,,,,
32,32,33,Uruguay,6.292999999999998,1.124,1.465,0.8909999999999999,0.523,0.127,0.15,Latin America and Caribbean,2019,,,,,
33,33,34,Singapore,6.2620000000000005,1.5719999999999998,1.463,1.141,0.556,0.271,0.453,Southeastern Asia,2019,,,,,
34,34,35,El Salvador,6.252999999999999,0.794,1.242,0.789,0.43,0.093,0.07400000000000001,Latin America and Caribbean,2019,,,,,
35,35,36,Italy,6.223,1.294,1.4880000000000002,1.039,0.231,0.158,0.03,Western Europe,2019,,,,,
36,36,37,Bahrain,6.199,1.362,1.368,0.871,0.536,0.255,0.11,Middle East and Northern Africa,2019,,,,,
37,37,38,Slovakia,6.198,1.246,1.504,0.8809999999999999,0.334,0.121,0.014,Central and Eastern Europe,2019,,,,,
38,38,39,Trinidad & Tobago,6.192,1.231,1.477,0.713,0.489,0.185,0.016,,2019,,,,,
39,39,40,Poland,6.182,1.206,1.4380000000000002,0.884,0.483,0.117,0.05,Central and Eastern Europe,2019,,,,,
40,40,41,Uzbekistan,6.174,0.745,1.529,0.7559999999999999,0.631,0.322,0.24,Central and Eastern Europe,2019,,,,,
41,41,42,Lithuania,6.149,1.238,1.515,0.818,0.29100000000000004,0.043,0.042,Central and Eastern Europe,2019,,,,,
42,42,43,Colombia,6.125,0.985,1.41,0.841,0.47,0.099,0.034,Latin America and Caribbean,2019,,,,,
43,43,44,Slovenia,6.1179999999999986,1.258,1.523,0.953,0.564,0.14400000000000002,0.057,Central and Eastern Europe,2019,,,,,
44,44,45,Nicaragua,6.105,0.6940000000000001,1.325,0.835,0.435,0.2,0.127,Latin America and Caribbean,2019,,,,,
45,45,46,Kosovo,6.1,0.882,1.232,0.758,0.489,0.262,0.006,Central and Eastern Europe,2019,,,,,
46,46,47,Argentina,6.086,1.092,1.432,0.8809999999999999,0.471,0.066,0.05,Latin America and Caribbean,2019,,,,,
47,47,48,Romania,6.07,1.162,1.232,0.825,0.462,0.083,0.005,Central and Eastern Europe,2019,,,,,
48,48,49,Cyprus,6.046,1.263,1.223,1.042,0.406,0.19,0.041,Western Europe,2019,,,,,
49,49,50,Ecuador,6.028,0.912,1.3119999999999998,0.868,0.498,0.126,0.087,Latin America and Caribbean,2019,,,,,
50,50,51,Kuwait,6.021,1.5,1.319,0.8079999999999999,0.493,0.142,0.097,Middle East and Northern Africa,2019,,,,,
51,51,52,Thailand,6.007999999999999,1.05,1.409,0.828,0.557,0.359,0.028,Southeastern Asia,2019,,,,,
52,52,53,Latvia,5.94,1.187,1.465,0.812,0.264,0.075,0.064,Central and Eastern Europe,2019,,,,,
53,53,54,South Korea,5.895,1.301,1.219,1.036,0.159,0.175,0.056,Eastern Asia,2019,,,,,
54,54,55,Estonia,5.893,1.237,1.528,0.8740000000000001,0.495,0.103,0.161,Central and Eastern Europe,2019,,,,,
55,55,56,Jamaica,5.89,0.831,1.4780000000000002,0.831,0.49,0.107,0.028,Latin America and Caribbean,2019,,,,,
56,56,57,Mauritius,5.888,1.12,1.402,0.7979999999999999,0.498,0.215,0.06,Sub-Saharan Africa,2019,,,,,
57,57,58,Japan,5.886,1.327,1.419,1.088,0.445,0.069,0.14,Eastern Asia,2019,,,,,
58,58,59,Honduras,5.86,0.642,1.236,0.828,0.507,0.246,0.078,Latin America and Caribbean,2019,,,,,
59,59,60,Kazakhstan,5.809,1.173,1.508,0.7290000000000001,0.41,0.146,0.096,Central and Eastern Europe,2019,,,,,
60,60,61,Bolivia,5.779,0.7759999999999999,1.209,0.706,0.511,0.13699999999999998,0.064,Latin America and Caribbean,2019,,,,,
61,61,62,Hungary,5.757999999999999,1.2009999999999998,1.41,0.828,0.199,0.081,0.02,Central and Eastern Europe,2019,,,,,
62,62,63,Paraguay,5.7429999999999986,0.855,1.475,0.777,0.514,0.184,0.08,Latin America and Caribbean,2019,,,,,
63,63,64,Northern Cyprus,5.718,1.263,1.252,1.042,0.417,0.191,0.162,,2019,,,,,
64,64,65,Peru,5.697,0.96,1.274,0.8540000000000001,0.455,0.083,0.027000000000000003,Latin America and Caribbean,2019,,,,,
65,65,66,Portugal,5.693,1.221,1.431,0.999,0.508,0.047,0.025,Western Europe,2019,,,,,
66,66,67,Pakistan,5.653,0.677,0.8859999999999999,0.535,0.313,0.22,0.098,Southern Asia,2019,,,,,
67,67,68,Russia,5.648,1.183,1.452,0.726,0.334,0.08199999999999999,0.031,Central and Eastern Europe,2019,,,,,
68,68,69,Philippines,5.631,0.807,1.293,0.657,0.5579999999999999,0.117,0.107,Southeastern Asia,2019,,,,,
